what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037252088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037265405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037269329
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1380037279420
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1380037279426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037279449
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380037281200
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1380037282118
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380037294819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037312435
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1380037317484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037317500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1380037317504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037323058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037325979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037329493
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1380037343524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380037343712
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037343764
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037343806
